topic,party,overall_change_pp,party_contribution_pp,early_party_emphasis_pct,late_party_emphasis_pct,early_count,late_count,party_emphasis_change_pp
International Affairs,GLP,-0.1471421738445251,0.06036460219727152,,13.157894736842104,0,5,
International Affairs,Mitte,-0.1471421738445251,-0.49235397065450925,6.85823754789272,5.844845908607864,179,165,-1.0133916392848565
International Affairs,FDP,-0.1471421738445251,-1.5841514810524266,8.574739281575898,6.609808102345416,222,124,-1.964931179230482
International Affairs,SVP,-0.1471421738445251,-0.1860519983448119,10.62951496388029,8.871662360034453,103,103,-1.757852603845837
Government Operations,SP,-7.493652500799486,-0.9040682055493039,16.682738669238187,7.021517553793885,173,124,-9.661221115444302
Government Operations,Grüne,-7.493652500799486,0.7364481468067126,,9.8546042003231,0,61,
Government Operations,GLP,-7.493652500799486,0.012072920439454304,,2.631578947368421,0,1,
Government Operations,Mitte,-7.493652500799486,-3.154810782316029,18.773946360153257,10.697839178179242,490,302,-8.076107181974015
Government Operations,FDP,-7.493652500799486,-3.1577414607127814,14.600231749710312,9.22174840085288,378,173,-5.378483348857433
Government Operations,SVP,-7.493652500799486,-1.025553119467538,14.447884416924664,6.546080964685616,140,76,-7.901803452239048
Agriculture,SP,1.2154020973704078,0.29905822004602456,5.303760848601736,4.983012457531144,55,88,-0.32074839107059194
Agriculture,Grüne,1.2154020973704078,0.9779065555957986,,13.08562197092084,0,81,
Agriculture,GLP,1.2154020973704078,0.06036460219727152,,13.157894736842104,0,5,
Agriculture,Mitte,1.2154020973704078,0.30797927881349896,6.015325670498084,7.297201558625575,157,206,1.281875888127491
Agriculture,FDP,1.2154020973704078,-1.4641779861815747,7.300115874855156,5.11727078891258,189,96,-2.182845085942576
Agriculture,SVP,1.2154020973704078,1.0342714268993882,5.056759545923633,12.23083548664944,49,142,7.174075940725807
Immigration,SP,0.998863670923523,0.1240469535229426,6.26808100289296,4.813137032842582,65,85,-1.454943970050378
Immigration,Grüne,0.998863670923523,0.49498973801762647,,6.623586429725363,0,41,
Immigration,GLP,0.998863670923523,0.12072920439454304,,26.31578947368421,0,10,
Immigration,Mitte,0.998863670923523,0.5080948470748052,3.5632183908045976,5.278072972015586,93,149,1.7148545812109885
Immigration,FDP,0.998863670923523,-0.676009816851032,5.677867902665121,6.023454157782516,147,113,0.3455862551173947
Immigration,SVP,0.998863670923523,0.427012744764638,5.263157894736842,8.09646856158484,51,94,2.833310666847999
Domestic Commerce,SP,1.060149870100906,0.41503198402319463,6.846673095467695,6.5685164212910525,71,116,-0.2781566741766426
Domestic Commerce,Grüne,1.060149870100906,0.3138959314258119,,4.20032310177706,0,26,
Domestic Commerce,GLP,1.060149870100906,0.06036460219727152,,13.157894736842104,0,5,
Domestic Commerce,Mitte,1.060149870100906,0.005953516491516986,9.348659003831418,9.953949698901878,244,281,0.60529069507046
Domestic Commerce,FDP,1.060149870100906,0.11728243168892805,6.527616840478949,10.874200426439232,169,204,4.346583585960284
Domestic Commerce,SVP,1.060149870100906,0.1476214042741827,7.430340557275541,8.182601205857019,72,95,0.7522606485814771
Transportation,SP,-1.0414967472234586,-0.6134518138410965,9.546769527483125,3.567383918459796,99,63,-5.979385609023328
Transportation,Grüne,-1.0414967472234586,0.49498973801762647,,6.623586429725363,0,41,
Transportation,GLP,-1.0414967472234586,0.0,,0.0,0,0,
Transportation,Mitte,-1.0414967472234586,-0.8379159743169353,9.578544061302683,7.722281261069784,250,218,-1.8562628002328987
Transportation,FDP,-1.0414967472234586,0.2597797567536926,6.836616454229433,11.99360341151386,177,225,5.156986957284427
Transportation,SVP,-1.0414967472234586,-0.34489845383674655,8.6687306501548,5.8570198105081825,84,68,-2.811710839646617
Defense,SP,2.146270343101339,0.5042057078187366,3.3751205400192865,4.64326160815402,35,82,1.2681410681347338
Defense,Grüne,2.146270343101339,0.5674272606543523,,7.592891760904685,0,47,
Defense,GLP,2.146270343101339,0.0,,0.0,0,0,
Defense,Mitte,2.146270343101339,-0.1489853678047468,5.977011494252873,5.915692525681899,156,167,-0.06131896857097452
Defense,FDP,2.146270343101339,0.5508753788915584,2.935496330629587,7.08955223880597,76,133,4.1540559081763835
Defense,SVP,2.146270343101339,0.6727473635414392,6.398348813209494,10.938845822566753,62,127,4.540497009357259
Environment,SP,3.1250431998584425,0.5730305702934274,3.567984570877531,5.096262740656852,37,90,1.5282781697793206
Environment,Grüne,3.1250431998584425,1.1831462030665219,,15.831987075928918,0,98,
Environment,GLP,3.1250431998584425,0.048291681757817215,,10.526315789473683,0,4,
Environment,Mitte,3.1250431998584425,0.9553642934622835,3.295019157088123,6.305348919589089,86,178,3.010329762500966
Environment,FDP,3.1250431998584425,0.43803504464676557,3.28312089609888,7.142857142857142,85,134,3.8597362467582625
Environment,SVP,3.1250431998584425,-0.07282459336837244,4.8503611971104235,4.1343669250646,47,48,-0.7159942720458234
Civil Rights,SP,0.22134916268306348,0.676931413831143,5.110896817743491,6.625141562853908,53,117,1.5142447451104166
Civil Rights,Grüne,0.22134916268306348,0.6157189424121695,,8.239095315024231,0,51,
Civil Rights,GLP,0.22134916268306348,0.0,,0.0,0,0,
Civil Rights,Mitte,0.22134916268306348,0.17128801472343325,3.793103448275862,4.534183492738221,99,128,0.7410800444623593
Civil Rights,FDP,0.22134916268306348,-1.1890628556788347,6.0641174198532255,4.371002132196162,157,82,-1.6931152876570632
Civil Rights,SVP,0.22134916268306348,-0.05352635260484773,4.437564499484004,3.875968992248062,43,45,-0.5615955072359426
