year,topic_broad,share_pct
2020,Foreign Policy & Security,8.545500378119486
2021,Foreign Policy & Security,6.890130353817504
2022,Foreign Policy & Security,8.516336368505623
2023,Foreign Policy & Security,8.91238670694864
2024,Foreign Policy & Security,12.044887780548628
2025,Foreign Policy & Security,10.122331494363157
1999,Healthcare,5.2109181141439205
2000,Healthcare,10.857853294653957
2001,Healthcare,5.525965379494008
2002,Healthcare,9.328968903436989
2003,Healthcare,10.669975186104217
2004,Healthcare,6.240126382306476
2005,Healthcare,3.6996437380104137
2006,Healthcare,7.737226277372263
2007,Healthcare,11.34854172682645
2008,Healthcare,7.64481034989709
2009,Healthcare,7.405671431919382
2010,Healthcare,5.556998182290314
2011,Healthcare,8.96883709146187
2012,Healthcare,3.6979570726661497
2013,Healthcare,8.194112967382656
2014,Healthcare,7.989049278247884
2015,Healthcare,6.336228921819111
2016,Healthcare,5.340793489318413
2017,Healthcare,2.8871391076115485
2018,Healthcare,5.510752688172043
2019,Healthcare,8.227086841472216
2020,Healthcare,9.906730526846482
2021,Healthcare,13.833466347432827
2022,Healthcare,10.89983931440814
2023,Healthcare,7.401812688821751
2024,Healthcare,7.406483790523691
2025,Healthcare,4.221635883905013
1999,Migration & Asylum,3.970223325062035
2000,Migration & Asylum,4.268545379196022
2001,Migration & Asylum,3.062583222370173
2002,Migration & Asylum,3.982542280414621
2003,Migration & Asylum,2.564102564102564
2004,Migration & Asylum,15.165876777251185
2005,Migration & Asylum,7.0704302548643465
2006,Migration & Asylum,1.0218978102189782
2007,Migration & Asylum,2.6855327750505342
2008,Migration & Asylum,4.292855042634519
2009,Migration & Asylum,2.952894305132412
2010,Migration & Asylum,5.427161776162036
2011,Migration & Asylum,3.9270331897643778
2012,Migration & Asylum,7.602792862684252
2013,Migration & Asylum,6.788650225404402
2014,Migration & Asylum,6.371329019412643
2015,Migration & Asylum,6.668369954011241
2016,Migration & Asylum,11.139369277721261
2017,Migration & Asylum,6.853310002916302
2018,Migration & Asylum,6.344086021505377
2019,Migration & Asylum,5.821505893673322
2020,Migration & Asylum,4.562641794807159
2021,Migration & Asylum,4.81511040170258
2022,Migration & Asylum,3.481521156936261
2023,Migration & Asylum,6.696878147029205
2024,Migration & Asylum,8.27930174563591
2025,Migration & Asylum,9.066922523386904
1999,Social Policy & Labor,15.632754342431761
2000,Social Policy & Labor,12.266887691670119
2001,Social Policy & Labor,25.832223701731028
2002,Social Policy & Labor,17.29405346426623
2003,Social Policy & Labor,16.57016818307141
2004,Social Policy & Labor,13.428120063191153
2005,Social Policy & Labor,14.223074815017814
2006,Social Policy & Labor,17.51824817518248
2007,Social Policy & Labor,9.673693329483108
2008,Social Policy & Labor,11.1731843575419
2009,Social Policy & Labor,17.225216779939068
2010,Social Policy & Labor,16.255518047260452
2011,Social Policy & Labor,17.58297441094502
2012,Social Policy & Labor,12.464442720455134
2013,Social Policy & Labor,14.346327234155396
2014,Social Policy & Labor,12.444001991040318
2015,Social Policy & Labor,13.566683699540114
2016,Social Policy & Labor,13.351983723296032
2017,Social Policy & Labor,10.673665791776028
2018,Social Policy & Labor,14.758064516129032
2019,Social Policy & Labor,14.096704354101517
2020,Social Policy & Labor,15.654146710360472
2021,Social Policy & Labor,10.747539239159352
2022,Social Policy & Labor,10.283877878950188
2023,Social Policy & Labor,15.307150050352467
2024,Social Policy & Labor,13.16708229426434
2025,Social Policy & Labor,11.657471815783161
