topic,party,overall_emotion_change_pp,party_total_contribution_pp,party_within_emotion_contribution_pp,party_composition_contribution_pp,early_party_topic_share_pct,late_party_topic_share_pct,early_party_emotion_pct,late_party_emotion_pct,early_count,late_count
Law and Crime,Mitte,4.808140438092279,-0.06887266324892563,0.05682554243279566,-0.1256982056817213,15.121951219512194,14.076433121019107,11.827956989247312,12.217194570135746,186,221
Law and Crime,FDP,4.808140438092279,-1.3520791258868,0.30668094649778704,-1.658760072384587,28.292682926829265,13.694267515923567,10.632183908045976,12.093023255813954,348,215
Law and Crime,SVP,4.808140438092279,8.531406970120656,3.7197770120499367,4.81162995807072,14.308943089430896,29.745222929936304,22.727272727272727,39.61456102783726,176,467
International Affairs,SP,1.2601253988249683,-1.7284508902455213,0.3795237867005325,-2.107974676946054,30.72289156626506,24.718498659517426,34.42265795206972,35.791757049891544,459,461
International Affairs,Grüne,1.2601253988249683,1.5481048411698626,-1.2886601545860565,2.836764995755919,10.040160642570282,16.514745308310992,48.66666666666667,38.961038961038966,150,308
International Affairs,GLP,1.2601253988249683,2.2520107238605895,1.1260053619302948,1.1260053619302948,0.0,7.560321715817694,,29.78723404255319,0,141
International Affairs,Mitte,1.2601253988249683,-0.3724639397626255,0.1253766719500375,-0.497840611712663,14.390896921017404,11.152815013404824,14.883720930232558,15.865384615384615,215,208
International Affairs,FDP,1.2601253988249683,-2.8749493057125735,-0.7384038508450854,-2.136545454867488,24.29718875502008,13.512064343163537,21.763085399449036,17.857142857142858,363,252
International Affairs,SVP,1.2601253988249683,2.435873969515238,0.3080174683148308,2.127856501200407,20.548862115127175,26.541554959785525,34.85342019543974,36.16161616161616,307,495
Government Operations,SP,-0.5589136199094791,-1.7763109152847585,-1.0580444030678788,-0.7182665122168796,26.73153978248426,21.929101401483926,17.130620985010705,12.781954887218044,467,266
Government Operations,Grüne,-0.5589136199094791,0.634652927571987,-1.0099415218956425,1.6445944494676294,5.724098454493418,11.376751854905194,35.0,23.18840579710145,100,138
Government Operations,GLP,-0.5589136199094791,0.4122011541632316,0.2061005770816158,0.2061005770816158,0.0,6.842539159109645,,6.024096385542169,0,83
Government Operations,Mitte,-0.5589136199094791,-0.5126678121155523,-0.3768948568570392,-0.1357729552585131,16.542644533485976,15.169002473206925,11.072664359861593,8.695652173913043,289,184
Government Operations,FDP,-0.5589136199094791,-1.5224780580158375,-0.563445506832144,-0.9590325511836936,31.25357756153406,16.075845012366035,7.509157509157509,5.128205128205128,546,195
Government Operations,SVP,-0.5589136199094791,2.205689083771449,0.8876071690083106,1.3180819147631382,19.748139668002292,28.606760098928273,13.043478260869565,16.714697406340058,345,347
Agriculture,SP,6.779791945617469,0.03690733683523911,0.465987764412709,-0.4290804275774699,18.88454011741683,16.416040100250626,16.06217616580311,18.702290076335878,193,262
Agriculture,Grüne,6.779791945617469,0.22916881244206389,-0.696769931085058,0.9259387435271219,13.50293542074364,17.167919799498748,27.536231884057973,22.99270072992701,138,274
Agriculture,GLP,6.779791945617469,1.2531328320802004,0.6265664160401002,0.6265664160401002,0.0,7.393483709273182,,16.94915254237288,0,118
Agriculture,Mitte,6.779791945617469,0.8703265011844684,1.4019739114102745,-0.5316474102258061,18.297455968688844,14.473684210526317,9.62566844919786,18.181818181818183,187,231
Agriculture,FDP,6.779791945617469,-2.441892402238473,-1.1120291381513756,-1.329863264087097,21.428571428571427,9.335839598997493,14.61187214611872,7.38255033557047,219,149
Agriculture,SVP,6.779791945617469,6.83214886531397,5.015815767330279,1.8163330979836911,27.886497064579256,35.21303258145363,16.842105263157894,32.74021352313167,285,562
