topic,party,overall_change_pp,party_contribution_pp,early_party_emphasis_pct,late_party_emphasis_pct,early_count,late_count,party_emphasis_change_pp
International Affairs,GLP,0.26188840615386155,0.7650569723277265,,10.11477761836442,0,141,
International Affairs,Mitte,0.26188840615386155,-0.28998541770756847,8.902691511387163,8.201892744479496,215,208,-0.700798766907667
International Affairs,FDP,0.26188840615386155,-1.0277551876115099,8.947498151343357,10.067918497802637,363,252,1.1204203464592801
International Affairs,SVP,0.26188840615386155,0.6602378848329691,9.977250568735782,9.490030674846626,307,495,-0.4872198938891561
Government Operations,SP,-4.945127734323033,-1.637988969697959,11.420885302029836,6.9415448851774535,467,266,-4.4793404168523825
Government Operations,Grüne,-4.945127734323033,0.08897446659641162,6.587615283267458,4.679552390640895,100,138,-1.908062892626563
Government Operations,GLP,-4.945127734323033,0.4503526858383071,,5.954088952654232,0,83,
Government Operations,Mitte,-4.945127734323033,-0.9084633574614925,11.966873706004142,7.255520504731862,289,184,-4.71135320127228
Government Operations,FDP,-4.945127734323033,-2.5444761351182645,13.458220359871826,7.7906512185377546,546,195,-5.667569141334071
Government Operations,SVP,-4.945127734323033,-0.39352642448003583,11.212219694507636,6.652607361963191,345,347,-4.559612332544446
Agriculture,SP,1.9165898028204271,0.14817215840410758,4.719980435314257,6.8371607515657615,193,262,2.1171803162515044
Agriculture,Grüne,1.9165898028204271,0.5761759738867703,9.090909090909092,9.29128518141743,138,274,0.20037609050833893
Agriculture,GLP,1.9165898028204271,0.6402604449267498,,8.464849354375897,0,118,
Agriculture,Mitte,1.9165898028204271,0.019556425080053508,7.743271221532091,9.108832807570979,187,231,1.3655615860388872
Agriculture,FDP,1.9165898028204271,-0.6365078280833215,5.398077397091447,5.952856572113464,219,149,0.5547791750220172
Agriculture,SVP,1.9165898028204271,1.168932628606067,9.262268443288917,10.774539877300613,285,562,1.512271434011696
Immigration,SP,-0.401049558457121,-0.9575208928607486,8.657373440939105,6.628392484342379,354,254,-2.028980956596726
Immigration,Grüne,-0.401049558457121,-0.39997912110147804,13.636363636363635,6.035944387928112,207,178,-7.600419248435523
Immigration,GLP,-0.401049558457121,0.4612045577862181,,6.097560975609756,0,85,
Immigration,Mitte,-0.401049558457121,-0.33182555608683606,7.122153209109731,5.83596214511041,172,148,-1.286191063999321
Immigration,FDP,-0.401049558457121,-0.9898523970708252,7.123490263741681,6.75189772273272,289,169,-0.3715925410089609
Immigration,SVP,-0.401049558457121,1.8169238508765486,7.99480012999675,12.154907975460123,246,634,4.160107845463373
Domestic Commerce,SP,-0.3988098741437751,-0.37263893381861735,6.5297138664710195,6.6805845511482245,267,256,0.150870684677205
Domestic Commerce,Grüne,-0.3988098741437751,0.29160431995580205,4.3478260869565215,4.543913190912174,66,134,0.19608710395565243
Domestic Commerce,GLP,-0.3988098741437751,0.6348345089527944,,8.393113342898136,0,117,
Domestic Commerce,Mitte,-0.3988098741437751,-0.040299997408038024,6.790890269151138,7.570977917981073,164,192,0.7800876488299346
Domestic Commerce,FDP,-0.3988098741437751,-0.8395329198509491,7.271382795168845,8.150219736316421,295,204,0.8788369411475765
Domestic Commerce,SVP,-0.3988098741437751,-0.07277685197476735,7.734806629834254,5.291411042944786,238,276,-2.4433955868894683
Transportation,SP,-1.364455350733274,-0.6181492904253351,5.991685008559551,4.801670146137787,245,184,-1.190014862421764
Transportation,Grüne,-1.364455350733274,0.35705780519243024,7.378129117259552,6.84977958630044,112,202,-0.5283495309591117
Transportation,GLP,-1.364455350733274,0.4232230059685296,,5.5954088952654235,0,78,
Transportation,Mitte,-1.364455350733274,-0.2865084653336534,7.246376811594203,6.309148264984227,175,160,-0.9372285466099761
Transportation,FDP,-1.364455350733274,-0.8269425717160808,6.778407690411633,7.2712744706352375,275,182,0.4928667802236042
Transportation,SVP,-1.364455350733274,-0.4131358344191649,7.99480012999675,4.275306748466258,246,223,-3.7194933815304916
Defense,SP,-0.29598058291077933,-0.1073738169161178,6.089508437270727,7.385177453027141,249,283,1.2956690157564141
Defense,Grüne,-0.29598058291077933,0.4642332868928203,5.928853754940711,6.612410986775178,90,195,0.6835572318344667
Defense,GLP,-0.29598058291077933,0.5751492132392838,,7.604017216642754,0,106,
Defense,Mitte,-0.29598058291077933,-0.3369486191501315,7.494824016563147,6.230283911671925,181,158,-1.2645401048912221
Defense,FDP,-0.29598058291077933,-1.2193484380278345,7.271382795168845,5.3535757091490215,295,134,-1.917807086019823
Defense,SVP,-0.29598058291077933,0.32830779105120067,7.897302567435814,6.825153374233128,243,356,-1.0721491932026854
Environment,SP,5.646909328729091,0.8570207873922384,3.7417461482024947,8.977035490605429,153,344,5.235289342402934
Environment,Grüne,5.646909328729091,1.662798771954169,7.180500658761528,14.886402170227194,109,439,7.705901511465666
Environment,GLP,5.646909328729091,0.8301682040151926,,10.975609756097562,0,153,
Environment,Mitte,5.646909328729091,0.6517574433344833,2.2774327122153206,7.373817034700315,55,187,5.096384322484995
Environment,FDP,5.646909328729091,0.28725812948840823,2.8592556075918165,7.750699161006793,116,194,4.891443553414977
Environment,SVP,5.646909328729091,1.3579059925446006,3.119922001949951,7.036042944785276,96,367,3.9161209428353247
Civil Rights,SP,0.943846503149663,-0.2886027992903464,6.700904866715579,7.306889352818372,274,280,0.605984486102793
Civil Rights,Grüne,0.943846503149663,0.500041743476812,7.575757575757576,7.867073584265853,115,232,0.2913160085082769
Civil Rights,GLP,0.943846503149663,0.4340748779164406,,5.738880918220947,0,80,
Civil Rights,Mitte,0.943846503149663,-0.14738311361085077,5.590062111801243,5.402208201892744,135,137,-0.18785390990849837
Civil Rights,FDP,0.943846503149663,-0.5356275204503657,5.102292334237121,6.112664802237315,207,153,1.0103724680001944
Civil Rights,SVP,0.943846503149663,0.9813433151079739,3.9324016899577514,6.288343558282208,121,328,2.355941868324457
