year,party,enthusiasm,anger,hope,fear
2005,SP,29.694471175081627,24.62735692217019,2.85131708466367,1.2888051057266925
2005,SVP,17.74467905109203,21.96394357600551,2.270755745879779,1.9766427553299852
2006,Center,22.051582595517818,8.177948204716145,2.3321146388457152,1.1642739002854334
2006,FDP,21.02748068208333,8.603827517411496,2.1586376502545703,1.2736561299537525
2006,Greens,38.34110419626598,33.387445887445885,3.7874952474336143,2.3881062440384477
2006,SP,31.35580903789823,24.66062031495299,3.1784418064279483,1.409952130755418
2006,SVP,18.53891511805537,23.095539253055733,2.4226240795662943,1.8427160759487604
2007,Center,23.08424013324522,7.859201369296758,2.865389678502231,1.3947207624227562
2007,FDP,23.061993135713433,9.525561751645732,2.427351216762254,1.0665482868164975
2007,Greens,38.82882727687445,28.566629023150757,4.979134964765031,2.500095703853994
2007,SP,31.111919295843517,22.447204499283085,3.347744610885234,1.6664369140368382
2007,SVP,17.722529713578762,21.547219452511587,2.059142998531811,1.8472880682013113
2008,Center,22.303522666899145,8.263076654695146,2.76515219602793,1.556543439825595
2008,FDP,24.645519042774993,12.11390986206515,2.898862095212861,1.146427083269997
2008,GLP,47.01238600789438,12.685449843473526,4.7774601878317675,2.341091602014428
2008,Greens,38.806868559263556,26.035886818495513,4.844088851458048,2.3848124363968135
2008,SP,30.61053616997906,20.568458533400186,3.524477360232091,1.7874604271765342
2008,SVP,17.895379965017995,25.199345877523537,1.7071422931366762,1.953936417349149
2009,Center,22.597040696642306,9.748060464432765,2.8467102635517403,2.123708252853852
2009,FDP,24.813453078108484,13.080463084038598,2.9862970747090407,1.2391345745010438
2009,GLP,44.14159067192958,11.123633228982351,4.784973458554512,2.3607277346762854
2009,Greens,37.58011907484804,24.881278633758203,4.873848585033166,2.456490549560227
2009,SP,28.524923552451554,17.815292110020994,3.41238081196533,1.5845979902715441
2009,SVP,19.21549823986448,26.055113784620357,1.7394825009246417,1.9158268236027738
2010,Center,24.34764473648671,9.767626621353344,2.886310581146287,2.119406218351535
2010,FDP,22.90648088463028,11.79846601592854,2.687179626647272,1.4336127378908923
2010,GLP,35.562928827444956,8.278545826932923,4.199078341013824,1.8977982590885816
2010,Greens,40.03827709261335,23.920081812813837,4.399795289100487,2.124559740771073
2010,SP,28.809402812788733,18.389818531454427,3.645590730475823,1.6506732035402842
2010,SVP,20.80261463992325,27.210558721662863,1.8155327286432212,2.1694716171869
2011,Center,25.84652686996502,9.224525965071969,3.1844913003697326,2.0854756522886233
2011,FDP,23.271746998836278,9.663454975953668,2.3621008686675413,1.331412133694778
2011,GLP,34.35084873065946,6.353011867207452,4.490791647889439,1.3912573231185217
2011,Greens,38.84899806837425,23.240513919403885,4.407400815783209,2.1296300918928885
2011,SP,31.51546295315039,19.61123819916271,4.07760411776814,1.5295216231909166
2011,SVP,21.694493758666734,25.8987444427632,1.814262874753714,2.2672503666789585
2012,Center,26.806887943329514,9.084904957710135,3.280558517556307,2.0983551302404506
2012,FDP,25.699460493381157,11.001714744851464,2.68103564342665,1.7117117050037942
2012,GLP,32.283562868946355,7.607913827991765,4.438779263988511,1.0040540207449409
2012,Greens,37.767115965075845,21.548095584884024,4.3411438825720845,2.06983193968482
2012,SP,33.638915790276215,21.561349419288415,4.517148073786341,1.4753027884739875
2012,SVP,22.81761376190097,28.081367578403672,1.5234102027307201,2.2963432618034196
2013,Center,25.978741923519618,9.17336827432879,2.897917500499488,1.989136427951778
2013,FDP,26.765965903130944,11.547045877930794,2.5782105980731416,1.613718030932061
2013,GLP,34.97543961964663,10.296989458243866,3.685277863428287,1.3934097630418598
2013,Greens,35.89657761501412,22.88171517946653,4.059355465417879,2.0868287013544387
